run,frame_id,elapsed_s,timestamp_ns,image,label,confidence,supported,class_and_score_pass,bounds,tracking
NaVi-collect-20260919-022341-193-a2b8792d,28,5.398,357102123539350,images/28.png,car,0.36328125,True,False,"[0.31666666, 0.24375, 0.5729167, 0.3875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,29,5.602,357102324071742,images/29.png,car,0.4296875,True,False,"[0.004166667, 0.2890625, 0.99375, 0.9875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,31,5.996,357102724878840,images/31.png,cat,0.546875,False,False,"[0.008333334, 0.0265625, 0.9875, 0.9703125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,32,6.22,357102925502363,images/32.png,cat,0.4765625,False,False,"[0, 0, 1, 0.9796875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,33,6.447,357103126049061,images/33.png,bed,0.4765625,False,False,"[0, 0.0796875, 1, 0.9921875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,33,6.447,357103126049061,images/33.png,cat,0.40625,False,False,"[0.40625, 0.0046875, 0.99375, 0.38125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,37,7.25,357103961987630,images/37.png,car,0.36328125,True,False,"[0.45, 0.3265625, 0.56666666, 0.3984375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,39,7.65,357104364242601,images/39.png,car,0.40625,True,False,"[0.47083333, 0.234375, 0.7083333, 0.3828125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,58,11.464,357108175266198,images/58.png,cat,0.546875,False,False,"[0.18541667, 0.2765625, 0.98541665, 0.9765625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,60,11.88,357108576623662,images/60.png,car,0.4296875,True,False,"[0.41875, 0.315625, 0.5729167, 0.4015625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,61,12.061,357108777045800,images/61.png,cat,0.5234375,False,False,"[0.09791667, 0.2953125, 0.9791667, 0.9796875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,65,12.854,357109579268718,images/65.png,cat,0.453125,False,False,"[0.12916666, 0.25, 0.9770833, 0.9640625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,66,13.062,357109779904554,images/66.png,cat,0.61328125,False,False,"[0.077083334, 0.25, 0.99375, 0.9640625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,67,13.265,357109980183104,images/67.png,car,0.4296875,True,False,"[0.45625, 0.2125, 0.64375, 0.3359375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,67,13.265,357109980183104,images/67.png,cat,0.40625,False,False,"[0.12083333, 0.05, 0.98541665, 0.984375]",TRACKING
